Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total Tests,Population
USA,"34,540,845",,"620,249 ",,"29,026,688",,"4,893,908","3,891","506,159,128","332,934,343 "
India,"30,411,634","+1,057","399,475 ",,"29,488,918","+7,396","523,241","8,944","412,021,494","1,393,494,216 "
Brazil,"18,559,164",,"518,246 ",,"16,858,632",,"1,182,286","8,318","53,209,627","214,062,708 "
France,"5,775,301",,"111,082 ",,"5,618,885",,"45,334","1,204","93,089,184","65,417,371 "
Russia,"5,514,599",,"135,214 ",,"5,000,393",,"378,992","2,300","149,600,000","145,996,812 "
Turkey,"5,425,652",,"49,732 ",,"5,294,285",,"81,635",727,"60,786,975","85,241,182 "
UK,"4,800,907",,"128,140 ",,"4,324,876",,"347,891",283,"212,221,289","68,240,959 "
Argentina,"4,470,374",,"94,304 ",,"4,076,921",,"299,149","6,308","16,695,671","45,608,189 "
Italy,"4,259,909",,"127,566 ",,"4,081,902",,"50,441",247,"71,583,206","60,373,207 "
Colombia,"4,240,982",,"106,544 ",,"3,936,156",,"198,282","8,155","19,936,910","51,422,011 "
Spain,"3,808,960",,"80,875 ",,"3,599,724",,"128,361",601,"52,691,812","46,772,822 "
Germany,"3,736,223",,"91,459 ",,"3,625,700","+1,500","19,064",736,"63,813,168","84,050,720 "
Iran,"3,204,557",,"84,264  ",,"2,876,828",,"243,465","3,183","23,308,926","85,061,045 "
Poland,"2,879,912",,"75,021 ",,"2,651,787",,"153,104",153,"17,405,420","37,805,297 "
Mexico,"2,519,269","+6,105","233,047 ",+244,"2,000,530","+3,149","285,692","4,798","7,507,730","130,279,378 "
Ukraine,"2,235,801",+705,"52,391 ",+51,"2,168,387","+1,719","15,023",177,"10,861,246","43,471,635 "
Indonesia,"2,178,272",,"58,491 ",,"1,880,413",,"239,368",,"19,924,080","276,398,829 "
Peru,"2,052,065",,"192,331  ",,N/A,N/A,N/A,"2,391","14,146,986","33,428,041 "
South Africa,"1,973,972",,"60,647 ",,"1,748,042",,"165,283",546,"13,062,835","60,051,644 "
Netherlands,"1,685,000",,"17,745 ",,"1,631,715",,"35,540",137,"14,730,069","17,172,634 "
Czechia,"1,667,435",+151,"30,304 ",,"1,635,643",+6,"1,488",11,"29,875,529","10,728,771 "
Chile,"1,555,902",,"32,545 ",,"1,494,284",,"29,073","2,994","16,972,436","19,279,402 "
Canada,"1,415,284",,"26,295 ",,"1,381,902",,"7,087",466,"36,768,392","38,071,259 "
Philippines,"1,412,559",,"24,662 ",,"1,339,248",,"48,649","1,957","14,931,545","111,029,921 "
Iraq,"1,345,904",,"17,186 ",,"1,245,528",,"83,190",629,"11,722,771","41,116,863 "
Sweden,"1,089,990",,"14,591 ",,"1,058,396",,"17,003",41,"10,828,578","10,161,931 "
Belgium,"1,085,131",+581,"25,173 ",+3,"1,036,032",,"23,926",143,"15,270,322","11,639,838 "
Romania,"1,080,792",,"33,786 ",,"1,045,351",,"1,655",73,"9,805,932","19,109,644 "
Pakistan,"958,408","+1,037","22,321 ",+40,"904,320",+836,"31,767","1,844","14,590,230","225,146,012 "
Bangladesh,"913,258",,"14,503 ",,"816,250",,"82,505","1,190","6,608,927","166,320,679 "
Portugal,"879,557",,"17,096 ",,"828,990",,"33,471",120,"13,137,838","10,167,065 "
Israel,"841,777",,"6,429 ",,"833,466",,"1,882",26,"15,032,200","9,326,000 "
Hungary,"808,160",+32,"29,992 ",,"739,204",+422,"38,964",20,"6,138,529","9,635,895 "
Japan,"798,159",,"14,740 ",,"766,616",,"16,803",523,"16,375,808","126,090,407 "
Malaysia,"751,979",,"5,170 ",,"682,680",,"64,129",905,"14,557,356","32,777,993 "
Jordan,"751,404",,"9,750 ",,"735,094",,"6,560",470,"7,869,709","10,303,841 "
Serbia,"716,562",,"7,047 ",,"707,591",,"1,924",12,"4,414,477","8,702,273 "
Switzerland,"703,004",,"10,891 ",,"683,865",,"8,248",41,"8,306,968","8,717,589 "
Austria,"650,412",,"10,702 ",,"637,751",,"1,959",60,"55,096,277","9,057,542 "
Nepal,"638,805",,"9,112 ",,"596,132",,"33,561",,"3,344,133","29,656,736 "
UAE,"632,907",,"1,811 ",,"611,442",,"19,654",,"57,735,677","10,009,147 "
Lebanon,"544,866",,"7,851 ",,"532,537",,"4,478",54,"4,731,376","6,794,960 "
Morocco,"531,361",,"9,296 ",,"517,576",,"4,489",154,"6,835,770","37,345,323 "
Saudi Arabia,"487,592",,"7,819 ",,"467,633",,"12,140","1,406","21,902,140","35,352,132 "
Ecuador,"458,504",,"21,560 ",,"423,688",,"13,256",422,"1,545,526","17,909,055 "
Bolivia,"439,624","+2,001","16,767 ",+65,"360,926","+2,075","61,931",200,"1,826,165","11,831,182 "
Kazakhstan,"425,573","+2,436","4,375 ",+26,"396,396","+1,134","24,802",221,"11,575,012","18,999,894 "
Paraguay,"423,282",,"12,895 ",,"370,655",,"39,732",541,"1,531,103","7,219,595 "
Greece,"422,456",,"12,687 ",,"405,030",,"4,739",196,"10,632,619","10,372,272 "
Bulgaria,"421,829",,"18,061 ",,"394,657",,"9,111",179,"3,192,798","6,896,247 "
Tunisia,"420,103",,"14,959 ",,"354,441",,"50,703",526,"1,718,172","11,941,557 "
Belarus,"417,189",,"3,143 ",,"409,797",,"4,249",,"6,795,494","9,446,226 "
Panama,"403,778",,"6,545 ",,"384,703",,"12,530",84,"2,998,145","4,382,196 "
Slovakia,"391,642",,"12,510 ",,"378,639",,493,26,"2,959,472","5,462,277 "
Uruguay,"369,350",,"5,593 ",,"348,489",,"15,268",260,"2,802,883","3,485,717 "
Costa Rica,"367,938",,"4,667 ",,"293,532",,"69,739",412,"1,468,597","5,140,376 "
Georgia,"367,058",+980,"5,327 ",+11,"352,624",+877,"9,107",,"5,847,116","3,981,534 "
Croatia,"359,872",,"8,206 ",,"351,170",,496,12,"2,148,554","4,080,009 "
Kuwait,"356,687",,"1,969 ",,"336,122",,"18,596",296,"2,976,536","4,333,286 "
Azerbaijan,"336,047",,"4,974 ",,"330,219",,854,,"3,749,303","10,230,060 "
Dominican Republic,"325,221",,"3,822 ",,"266,079",,"55,320",376,"1,711,877","10,956,064 "
Palestine,"314,167",,"3,563 ",,"308,186",,"2,418",7,"1,902,007","5,218,896 "
Denmark,"293,677",,"2,534 ",,"288,190",,"2,953",12,"68,626,438","5,812,512 "
Guatemala,"293,583",,"9,215 ",,"264,426",,"19,942",5,"1,580,329","18,244,318 "
Egypt,"281,282",,"16,169 ",,"211,384",,"53,729",90,"2,869,589","104,248,863 "
Lithuania,"278,809",+25,"4,384 ",+1,"267,725",+102,"6,700",45,"3,769,808","2,684,340 "
Ethiopia,"276,174",,"4,320 ",,"260,372",,"11,482",145,"2,866,572","117,783,443 "
Venezuela,"272,712",,"3,119 ",,"253,946",,"15,647",356,"3,359,014","28,355,608 "
Ireland,"271,931",,"4,989 ",,"256,993",+378,"9,949",16,"4,729,538","4,992,608 "
Oman,"268,545",,"3,100 ",,"234,861",,"30,584",519,"1,550,000","5,235,208 "
Bahrain,"265,827",,"1,352 ",,"261,287",,"3,188",79,"5,038,697","1,759,976 "
Thailand,"264,834","+5,533","2,080 ",+57,"210,702","+3,223","52,052","1,806","8,129,670","69,974,416 "
Honduras,"262,760",+691,"7,005 ",+25,"92,454",+51,"163,301",566,"792,602","10,060,985 "
Sri Lanka,"259,089",,"3,077 ",,"225,952",,"30,060",,"3,743,577","21,502,636 "
Slovenia,"257,335",,"4,419 ",,"252,285",,631,17,"1,347,315","2,079,223 "
Moldova,"256,734",,"6,194 ",,"249,706",,834,48,"1,261,083","4,024,616 "
Armenia,"225,221",+126,"4,517 ",+3,"216,882",+104,"3,822",,"1,188,922","2,968,760 "
Qatar,"222,071",,590 ,,"219,799",,"1,682",53,"2,165,723","2,807,805 "
Bosnia and Herzegovina,"205,022",,"9,665 ",,"183,306",,"12,051",,"1,030,666","3,260,459 "
Libya,"193,474",,"3,193 ",,"178,387",,"11,894",,"1,120,246","6,964,103 "
Cuba,"190,993",,"1,284 ",,"174,151",,"15,558",189,"5,113,084","11,319,726 "
Kenya,"184,161",,"3,634 ",,"125,684",,"54,843",113,"1,959,701","54,945,075 "
Nigeria,"167,618",,"2,120 ",,"164,244",,"1,254",11,"2,266,591","211,198,870 "
S. Korea,"157,723",+762,"2,021 ",+3,"148,024",+331,"7,678",144,"10,614,317","51,313,145 "
Myanmar,"157,277",,"3,334 ",,"136,443",,"17,500",,"2,734,326","54,772,736 "
North Macedonia,"155,684",,"5,484 ",,"149,977",,223,25,"879,339","2,083,289 "
Zambia,"154,948",,"2,199 ",,"131,792",,"20,957","1,342","1,874,444","18,893,315 "
Algeria,"139,626",,"3,716 ",,"97,089",,"38,821",32,"230,861","44,636,630 "
Latvia,"137,429",,"2,513 ",,"133,928",,988,37,"2,906,594","1,865,374 "
Albania,"132,521",,"2,456 ",,"130,009",,56,3,"805,546","2,874,665 "
Norway,"131,316",,794 ,,"88,952",,"41,570",6,"6,043,353","5,463,409 "
Estonia,"131,085",+21,"1,269 ",,"127,416",+65,"2,400",6,"1,529,150","1,327,424 "
Kyrgyzstan,"126,395","+1,392","2,009 ",+9,"110,698",+616,"13,688",102,"1,310,251","6,631,030 "
Afghanistan,"120,216",,"4,962 ",,"71,012",,"44,242","1,124","612,112","39,797,047 "
Mongolia,"117,963","+2,485",578 ,+15,"79,256","+2,602","38,129",126,"3,266,128","3,330,694 "
Uzbekistan,"111,153",+476,740 ,+4,"107,696",+633,"2,717",23,"1,377,915","33,950,900 "
Montenegro,"100,252",,"1,613 ",,"98,352",,287,6,"450,953","628,145 "
Ghana,"95,914",,796 ,,"93,444",,"1,674",9,"1,276,266","31,715,929 "
Finland,"95,742",,969 ,,"46,000",,"48,773",7,"5,420,876","5,549,294 "
Namibia,"89,917",,"1,521 ",,"67,330",,"21,066",81,"529,147","2,586,557 "
Cameroon,"80,858",,"1,324 ",,"78,224",,"1,310",152,"1,751,774","27,200,175 "
Uganda,"79,977",,"1,023 ",,"52,961",,"25,993","1,116","1,326,017","47,168,667 "
El Salvador,"78,766",,"2,381 ",,"72,572",,"3,813",54,"1,062,066","6,518,782 "
